拆分：{⺁} [px]	⺁
拆分：灬臣 [hi] | 女灬 [nh]	𲫷
拆分：火秦 [hq]	𲫹
拆分：火聂 [hn]	𲫻
拆分：火丶 [hd]	𲫼
拆分：火窄 [hv]	𲫽
拆分：火逐 [hv]	𲫿
拆分：火灬 [hh]	𲬂
拆分：淦火 [gh] | 火淦 [hg]	𲬃
拆分：來灬 [lh] | 灬尤 [hy]	𲬄
拆分：止灬 [vh] | 灬刂 [hd]	𲬆
拆分：灬止 [hv] | 止灬 [vh]	𲬇
拆分：火焱 [hy] | 焱火 [yh]	𲬋
拆分：火玄 [hx] | 君火 [jh]	𲬍
拆分：木火 [mh] | 火豕 [hu]	𲬎
拆分：楙火 [mh] | 火楙 [hm]	𲬏
拆分：火聖 [hu]	𲬐
拆分：火爰 [hy]	𲬒
拆分：火丿 [hp]	𲬓
拆分：火萱 [hx]	𲬔
拆分：當灬 [dh] | 灬當 [hd]	𲬕
拆分：火路 [hl]	𲬛
拆分：亠灬 [wh] | 灬口 [hk]	𲬜
拆分：火運 [hy]	𲬝
拆分：火駁 [hb]	𲬟
拆分：火火 [hh] | 爫炎 [vy]	𲬠
拆分：鹿灬 [lh] | 灬彡 [hp]	𲬡
拆分：火寸 [hc]	𲬢
拆分：火丶 [hd]	𲬥
拆分：火暫 [hz]	𲬦
拆分：火焦 [hj]	𲬨
拆分：灬儿 [he] | 無儿 [we]	𲬩
拆分：火衣 [hy]	𲬪
拆分：火慶 [hq]	𲬫
拆分：火麻 [hm] | 目火 [oh]	𲬭
拆分：炎紫 [yz]	𲬰
拆分：火螺 [hl]	𲬲
拆分：火僉 [hq]	𲬴
拆分：火鶯 [hy]	𲬷
拆分：灬林 [hl] | 臼灬 [jh]	𲬹
拆分：無無 [ww] | 灬無 [hw]	𲬺
拆分：爪圭 [vg]	𲬻
拆分：爪或 [vh]	𲬼
拆分：爫十 [vu]	𲬿
拆分：木父 [mf] | 父木 [fm]	𲭂
拆分：父坡 [fp]	𲭄
拆分：爿匕 [pb]	𲭅
拆分：𠃊易 [ay]	𲭈
拆分：爿害 [ph]	𲭉
拆分：片手 [pu]	𲭋
拆分：片頁 [py]	𲭍
拆分：片皿 [pm]	𲭎
拆分：片蜀 [pu]	𲭐
拆分：含牙 [hy] | 牙含 [yh]	𲭕
拆分：牙肯 [yk]	𲭘
拆分：牛午 [nw]	𲭛
拆分：牛奴 [nn]	𲭞
拆分：牛宅 [nv]	𲭟
拆分：勹牛 [gn]	𲭠
拆分：牛周 [nv]	𲭡
拆分：牛参 [nc]	𲭢
拆分：牛兹 [nz]	𲭣
拆分：牛兼 [nj]	𲭥
拆分：牛鹿 [nl]	𲭦
拆分：牛牛 [nn]	𲭨
拆分：牛僉 [nq]	𲭩
拆分：牛蹈 [nd]	𲭪
拆分：犭又 [qy]	𲭬
拆分：犭口 [qk]	𲭭
拆分：犭不 [qb]	𲭮
拆分：犭八 [qb]	𲭲
拆分：犭刀 [qd]	𲭴
拆分：犭目 [qo]	𲭵
拆分：犭失 [qu]	𲭶
拆分：犭乍 [qv]	𲭷
拆分：犭立 [ql]	𲭺
拆分：犭贝 [qb]	𲭼
拆分：犭仲 [qv]	𲭾
拆分：犭关 [qg]	𲭿
拆分：犭赤 [qi]	𲮀
拆分：犭寿 [qu]	𲮂
拆分：犭尼 [qn]	𲮅
拆分：犭秀 [qx]	𲮆
拆分：犭宋 [qs]	𲮇
拆分：犭牢 [ql]	𲮉
拆分：犭努 [qn]	𲮊
拆分：犭肯 [qk]	𲮐
拆分：犭劳 [ql]	𲮑
拆分：犭隶 [ql]	𲮔
拆分：犭頁 [qy]	𲮖
拆分：犭垚 [qy]	𲮗
拆分：犭苦 [qk]	𲮘
拆分：犭秋 [qq]	𲮚
拆分：犭重 [qv]	𲮛
拆分：犭前 [qq]	𲮞
拆分：犭廾 [qc]	𲮟
拆分：犭攵 [qw]	𲮠
拆分：犭屋 [qw]	𲮡
拆分：猇几 [xj]	𲮣
拆分：犭虒 [qs]	𲮥
拆分：犭又 [qy]	𲮦
拆分：犭拿 [qn]	𲮧
拆分：犭窄 [qv]	𲮨
拆分：犭羔 [qg]	𲮩
拆分：犭家 [qj]	𲮪
拆分：犬隺 [qh] | 隺犬 [hq]	𲮮
拆分：犭魚 [qy]	𲮲
拆分：犭間 [qj]	𲮷
拆分：犭勞 [ql]	𲮹
拆分：犭尊 [qz]	𲮺
拆分：犬焱 [qy] | 焱犬 [yq]	𲮻
拆分：犬里 [ql] | 穴犬 [xq]	𲮼
拆分：犬嗇 [qs] | 嗇犬 [sq]	𲮾
拆分：虍犬 [hq] | 犬豆 [qd]	𲮿
拆分：犭尤 [qy]	𲯀
拆分：犭厭 [qy] | 犬月 [qo]	𲯂
拆分：睿犬 [rq] | 犬睿 [qr]	𲯃
拆分：犭賢 [qx]	𲯉
拆分：口犬 [kq] | 犬禺 [qy]	𲯋
拆分：犭遼 [ql]	𲯏
拆分：盧犬 [lq] | 犬盧 [ql]	𲯐
拆分：犭壘 [ql]	𲯓
拆分：犭難 [qn]	𲯔
拆分：犭糸 [qs]	𲯕
拆分：犭韃 [qd]	𲯗
拆分：犭鬻 [qy]	𲯘
拆分：犭巖 [qy]	𲯙
拆分：玄欠 [xq]	𲯚
拆分：元玉 [yy]	𲯛
拆分：王下 [wx]	𲯞
拆分：王罕 [wh]	𲯟
拆分：王尚 [wu]	𲯡
拆分：王肴 [wy]	𲯢
拆分：王庚 [wg]	𲯤
拆分：王丨 [wa]	𲯦
拆分：王镸 [wi]	𲯧
拆分：王豕 [wu]	𲯨
拆分：王盈 [wy]	𲯩
拆分：玉琉 [yl] | 琉玉 [ly]	𲯫
拆分：王玉 [wy] | 玉冖 [yb]	𲯬
拆分：王乚 [wg]	𲯭
拆分：王宫 [wg]	𲯯
拆分：王逑 [wq]	𲯰
拆分：王逐 [wv]	𲯱
拆分：王梁 [wl]	𲯳
拆分：王宿 [ws]	𲯴
拆分：王替 [wt]	𲯶
拆分：王買 [wm]	𲯹
拆分：王菱 [wl]	𲯺
拆分：王豕 [wu]	𲯻
拆分：王復 [wf]	𲯾
拆分：王零 [wl]	𲰀
拆分：王農 [wn]	𲰃
拆分：王韭 [wj]	𲰄
拆分：王冖 [wb] | 臼王 [jw]	𲰆
拆分：王蓁 [wv]	𲰈
拆分：王翟 [wd]	𲰊
拆分：王慶 [wq]	𲰍
拆分：王蕃 [wf]	𲰎
拆分：王口 [wk]	𲰐
拆分：王賽 [ws]	𲰓
拆分：王寸 [wc]	𲰕
拆分：虚瓜 [xg] | 瓜虚 [gx]	𲰘
拆分：瓦万 [ww]	𲰙
拆分：瓦会 [wh]	𲰜
拆分：瓦孚 [wf] | 孚瓦 [fw]	𲰞
拆分：瓦厶 [ws] | 十瓦 [uw]	𲰟
拆分：卷瓦 [jw] | 瓦卷 [wj]	𲰠
拆分：瓦區 [wq]	𲰡
拆分：瓦第 [wd] | 第瓦 [dw]	𲰢
拆分：召瓦 [vw] | 瓦辛 [wx]	𲰣
拆分：瓦會 [wh]	𲰤
拆分：甚蜀 [uu]	𲰥
拆分：稟甚 [bu]	𲰦
拆分：生申 [uu]	𲰨
拆分：生亚 [uy]	𲰫
拆分：生存 [uc]	𲰬
拆分：生妄 [uw]	𲰭
拆分：弗用 [fy]	𲰵
拆分：田一 [ta]	𲰶
拆分：田刀 [td] | 刀田 [dt]	𲰸
拆分：{鸟}甲 [nj]	𲰹
拆分：田勾 [tg]	𲰺
拆分：田乏 [tf]	𲰻
拆分：男也 [ny]	𲰼
拆分：田垂 [ti]	𲱂
拆分：男光 [ng]	𲱃
拆分：田累 [tl]	𲱆
拆分：田罪 [tz]	𲱊
拆分：田詹 [tv]	𲱋
拆分：田共 [tg]	𲱍
拆分：丿八 [pb] | 番八 [fb]	𲱎
拆分：異电 [yd] | 田电 [td]	𲱏
拆分：斬疋 [vp] | 疋斬 [pv]	𲱐
拆分：了斬 [lv]	𲱑
拆分：疒内 [bn]	𲱒
拆分：疒亘 [bg]	𲱖
拆分：疒欠 [bq]	𲱞
拆分：疒阴 [by]	𲱟
拆分：疒波 [bb]	𲱡
拆分：疒轸 [bv]	𲱢
拆分：疒衣 [by]	𲱣
拆分：疒背 [bb]	𲱥
拆分：疒手 [bu]	𲱩
拆分：疒即 [bj]	𲱪
拆分：疒粒 [bl]	𲱬
拆分：疒尉 [bw]	𲱭
拆分：疒用 [by]	𲱯
拆分：疒鼓 [bg]	𲱳
拆分：疒酸 [bs]	𲱷
拆分：疒盆 [bp]	𲱹
拆分：癶匕 [db]	𲱾
拆分：登包 [db]	𲱿
拆分：白衣 [by]	𲲀
拆分：泉双 [qu]	𲲂
拆分：白氣 [bq]	𲲄
拆分：皮句 [pj]	𲲅
拆分：皮半 [pb] | 半皮 [bp]	𲲆
拆分：皮番 [pf] | 番皮 [fp]	𲲌
拆分：公皿 [gm] | 皿公 [mg]	𲲏
拆分：皿世 [mu] | 世皿 [um]	𲲐
拆分：皿干 [mg] | 艹皿 [cm]	𲲑
拆分：皿缶 [mf] | 宀皿 [bm]	𲲖
拆分：比目 [bo]	𲲛
拆分：目升 [ou] | 升目 [uo]	𲲝
拆分：目因 [oy]	𲲡
拆分：目目 [oo]	𲲣
拆分：目狂 [ok]	𲲤
拆分：目没 [om]	𲲥
拆分：目虎 [oh]	𲲧
拆分：目房 [of]	𲲩
拆分：目空 [ok]	𲲪
拆分：末眼 [my]	𲲭
拆分：目崔 [oc]	𲲮
拆分：目幾 [oj]	𲲰
拆分：目夂 [ow]	𲲲
拆分：目粲 [oc]	𲲳
拆分：真員 [vy]	𲲶
拆分：睿夂 [rw] | 目夂 [ow]	𲲻
拆分：目攀 [op]	𲲼
拆分：矛灬 [mh]	𲳀
拆分：矢西 [ux]	𲳁
拆分：矢定 [ud]	𲳂
拆分：石七 [uq]	𲳉
拆分：石又 [uy]	𲳊
拆分：石丶 [ud]	𲳋
拆分：石壬 [ur]	𲳍
拆分：石片 [up]	𲳏
拆分：石化 [uh]	𲳐
拆分：石六 [ul]	𲳑
拆分：石东 [ud]	𲳓
拆分：石平 [up]	𲳔
拆分：石目 [uo]	𲳕
拆分：石尕 [ug]	𲳖
拆分：石市 [uu]	𲳘
拆分：石多 [ud] | 多石 [du]	𲳛
拆分：石农 [un]	𲳜
拆分：石安 [ua]	𲳝
拆分：石汞 [ug]	𲳞
拆分：石却 [uq]	𲳟
拆分：石声 [uu]	𲳠
拆分：石寸 [uc]	𲳣
拆分：石夋 [uj] | 石夂 [uw]	𲳤
拆分：石斩 [uv] | 斩石 [vu]	𲳦
拆分：石欣 [ux]	𲳩
拆分：石炎 [uy]	𲳫
拆分：石屈 [uq]	𲳬
拆分：石攴 [up]	𲳮
拆分：石某 [um]	𲳯
拆分：石封 [uf] | 封石 [fu]	𲳰
拆分：石费 [uf]	𲳶
拆分：石聂 [un]	𲳷
拆分：石莺 [uy]	𲳺
拆分：石皿 [um]	𲳼
拆分：准石 [vu] | 石准 [uv]	𲳽
拆分：石畢 [ub]	𲴀
拆分：石八 [ub]	𲴁
拆分：石惠 [uh]	𲴃
拆分：石紫 [uz]	𲴅
拆分：石買 [um]	𲴇
拆分：石進 [uj]	𲴈
拆分：石糸 [us]	𲴋
拆分：石塊 [uk]	𲴎
拆分：石照 [uv]	𲴏
拆分：石粲 [uc]	𲴐
拆分：石匱 [uk]	𲴑
拆分：石蒼 [uc]	𲴒
拆分：石鼻 [ub]	𲴓
拆分：石卒 [uz]	𲴔
拆分：石憂 [uy]	𲴖
拆分：石罷 [ub]	𲴗
拆分：石見 [uj]	𲴘
拆分：石蕉 [uj]	𲴙
拆分：石憲 [ux]	𲴛
拆分：石麗 [ul]	𲴜
拆分：石火 [uh]	𲴝
拆分：石獻 [ux]	𲴞
拆分：石鶯 [uy]	𲴠
拆分：石巖 [uy]	𲴢
拆分：示犬 [uq]	𲴣
拆分：示百 [ub]	𲴤
拆分：示吾 [uw]	𲴦
拆分：示長 [ui]	𲴧
拆分：示炎 [uy]	𲴫
拆分：礼呈 [li]	𲴭
拆分：示亏 [uk]	𲴮
拆分：示保 [ub]	𲴯
拆分：示盾 [ud]	𲴰
拆分：示追 [uv]	𲴲
拆分：示崩 [ub]	𲴳
拆分：示心 [ux]	𲴴
拆分：示庸 [uy]	𲴵
拆分：示竟 [uj]	𲴶
拆分：示盛 [uu]	𲴷
拆分：示尋 [ux]	𲴸
拆分：示楚 [ui]	𲴹
拆分：示木 [um]	𲴺
拆分：示過 [ug]	𲴻
拆分：示義 [uy]	𲴼
拆分：示嘉 [uj]	𲴽
拆分：示男 [un]	𲴾
拆分：示榮 [ur]	𲴿
拆分：示蔑 [um]	𲵀
拆分：示灬 [uh]	𲵂
拆分：禾尧 [hy]	𲵅
拆分：禾岂 [hq]	𲵆
拆分：禾向 [hx]	𲵇
拆分：禾坐 [hz]	𲵊
拆分：禾言 [hy]	𲵋
拆分：禾長 [hi]	𲵌
拆分：禾奈 [hn]	𲵍
拆分：禾宜 [hy]	𲵎
拆分：禾二 [he]	𲵏
拆分：禾山 [hu]	𲵐
拆分：禾侖 [hl]	𲵑
拆分：禾庶 [hu]	𲵒
拆分：禾羡 [hx]	𲵔
拆分：禾巽 [hx]	𲵕
拆分：禾僉 [hq]	𲵖
拆分：禾齒 [hi]	𲵙
拆分：禾養 [hy]	𲵚
拆分：禾篙 [hg]	𲵛
拆分：禾暨 [hj]	𲵜
拆分：禾米 [hm]	𲵝
拆分：穴山 [xu]	𲵞
拆分：穴田 [xt]	𲵟
拆分：穴放 [xf]	𲵠
拆分：穴殷 [xy]	𲵢
拆分：穴射 [xu]	𲵣
拆分：穴高 [xg]	𲵤
拆分：立包 [lb]	𲵨
拆分：立吉 [lj]	𲵪
拆分：立扁 [lb]	𲵮
拆分：立庸 [ly]	𲵯
拆分：立意 [ly]	𲵰
拆分：𥫗木 [vm]	𲵳
拆分：𥫗介 [vj]	𲵴
拆分：竿口 [gk]	𲵷
拆分：𥫗伏 [vf]	𲵸
拆分：𥫗厶 [vs]	𲵹
拆分：竹孝 [vx]	𲵺
拆分：𥫗杷 [vp]	𲵽
拆分：竹又 [vy]	𲶀
拆分：竹几 [vj]	𲶁
拆分：竹枯 [vk]	𲶂
拆分：𥫗炭 [vt]	𲶃
拆分：𥫗看 [vk]	𲶅
拆分：竹桂 [vg]	𲶆
拆分：竹刀 [vd]	𲶇
拆分：竹閃 [vu]	𲶈
拆分：𥫗耙 [vb]	𲶉
拆分：𥫗适 [vu]	𲶊
拆分：𥫗匾 [vb]	𲶋
拆分：竹丰 [vf]	𲶌
拆分：竹勘 [vk]	𲶍
拆分：𥫗田 [vt]	𲶎
拆分：𥫗甫 [vf]	𲶏
拆分：竹異 [vy]	𲶐
拆分：𥫗早 [vz]	𲶑
拆分：竹敛 [vl]	𲶓
拆分：竹悠 [vy]	𲶔
拆分：竹旋 [vx]	𲶕
拆分：竹匝 [vz]	𲶖
拆分：𥫗盛 [vu]	𲶗
拆分：竹朝 [vi]	𲶘
拆分：𥫗刂 [vd]	𲶙
拆分：竹勝 [vu]	𲶚
拆分：𥫗木 [vm]	𲶜
拆分：竹賈 [vj]	𲶝
拆分：竹鼓 [vg]	𲶞
拆分：𥫗刂 [vd]	𲶡
拆分：𥫗綦 [vq]	𲶣
拆分：竹條 [vt]	𲶤
拆分：𥫗覃 [vt]	𲶥
拆分：𥫗擔 [vd]	𲶧
拆分：𥫗積 [vj]	𲶩
拆分：竹京 [vj]	𲶪
拆分：𥫗澤 [vz]	𲶫
拆分：𥫗暨 [vj]	𲶬
拆分：𥫗幸 [vx]	𲶭
拆分：竹电 [vd] | 弄电 [nd]	𲶮
拆分：𥫗業 [vy]	𲶯
拆分：𥫗詹 [vv]	𲶳
拆分：𥫗鳥 [vn]	𲶴
拆分：米卜 [mb]	𲶵
拆分：米于 [my]	𲶶
拆分：米丸 [mw]	𲶷
拆分：米叉 [mi]	𲶹
拆分：米云 [my]	𲶺
拆分：米内 [mn]	𲶻
拆分：米今 [mj]	𲶼
拆分：米及 [mj]	𲶽
拆分：米允 [my]	𲶿
拆分：米十 [mu]	𲷁
拆分：米汉 [mh]	𲷂
拆分：米各 [mg]	𲷃
拆分：米酉 [my]	𲷆
拆分：米困 [mk]	𲷇
拆分：米矣 [my]	𲷉
拆分：米奈 [mn]	𲷊
拆分：米故 [mg]	𲷍
拆分：米禾 [mh]	𲷑
拆分：米叟 [ms]	𲷒
拆分：米鬼 [mg]	𲷓
拆分：米恋 [ml]	𲷕
拆分：米能 [mn]	𲷖
拆分：米而 [me]	𲷗
拆分：米禺 [my]	𲷘
拆分：米碍 [ma]	𲷚
拆分：米嗇 [ms]	𲷛
拆分：米雷 [ml]	𲷜
拆分：米灬 [mh]	𲷞
拆分：米馬 [mm]	𲷠
拆分：米田 [mt]	𲷡
拆分：米箴 [mv]	𲷢
拆分：米隹 [mv]	𲷧
拆分：米戀 [ml]	𲷨
拆分：糸巾 [sj]	𲷩
拆分：糸殳 [su]	𲷫
拆分：糸扑 [sp]	𲷬
拆分：糸灰 [sh]	𲷮
拆分：糸匡 [sk]	𲷯
拆分：糸曲 [sq]	𲷲
拆分：糸巾 [sj]	𲷳
拆分：糸宅 [sv]	𲷴
拆分：糸却 [sq]	𲷷
拆分：糸狂 [sk]	𲷺
拆分：卧糸 [ws] | 糸卧 [sw]	𲷾
拆分：糸芳 [sf]	𲸀
拆分：糸些 [sx]	𲸁
拆分：糸二 [se]	𲸂
拆分：糸小 [sx]	𲸃
拆分：糸栽 [sz]	𲸇
拆分：糸聿 [sy]	𲸉
拆分：糸攵 [sw]	𲸊
拆分：糸臬 [sn] | 臬糸 [ns]	𲸋
拆分：能糸 [ns] | 糸能 [sn]	𲸍
拆分：糸丶 [sd]	𲸎
拆分：糸基 [sj]	𲸏
拆分：糸崗 [sg]	𲸐
拆分：糸侖 [sl]	𲸑
拆分：糸乚 [sg]	𲸔
拆分：糸木 [sm]	𲸕
拆分：糸象 [sx]	𲸖
拆分：糸囱 [sc]	𲸗
拆分：糸葉 [sy]	𲸛
拆分：敬糸 [js] | 糸敬 [sj]	𲸜
拆分：糸盡 [sj]	𲸣
拆分：糸寮 [sl]	𲸧
拆分：紫細 [zx]	𲸪
拆分：糸難 [sn]	𲸬
拆分：纟车 [si]	𲸯
拆分：纟太 [st]	𲸰
拆分：纟罗 [sl]	𲸱
拆分：缶犬 [fq]	𲸲
拆分：缶央 [fy]	𲸳
拆分：缶半 [fb]	𲸴
拆分：𠂉奉 [rf]	𲸵
拆分：𠂉廾 [rc]	𲸶
拆分：缶專 [fv]	𲸸
拆分：缶小 [fx]	𲸹
拆分：缶喬 [fq]	𲸺
拆分：缶曾 [fc]	𲸻
拆分：罒友 [sy]	𲸽
拆分：网人 [wr]	𲸾
拆分：罒則 [sz]	𲹀
拆分：罒光 [sg]	𲹂
拆分：罒錐 [sv]	𲹃
拆分：羊儿 [ye]	𲹄
拆分：一羊 [ay] | 羊工 [yg]	𲹅
拆分：丷取 [bq]	𲹈
拆分：羊蚤 [yz]	𲹌
拆分：声羊 [uy] | 羊殳 [yu]	𲹏
拆分：羽一 [ya] | 宀羽 [by]	𲹔
拆分：羽免 [ym]	𲹖
拆分：翟彡 [dp] | 羽彡 [yp]	𲹞
拆分：耒咼 [lg]	𲹧
拆分：耳𡿨 [ea] | 耳丶 [ed]	𲹨
拆分：耳弓 [eg]	𲹩
拆分：耳玄 [ex]	𲹪
拆分：耳台 [et]	𲹫
拆分：耳米 [em]	𲹬
拆分：耳肖 [ex]	𲹭
拆分：耳免 [em]	𲹮
拆分：耳夂 [ew]	𲹯
拆分：耳厶 [es]	𲹱
拆分：耳臼 [ej]	𲹳
拆分：耳段 [ed]	𲹴
拆分：耳入 [er]	𲹶
拆分：耳勿 [ew]	𲹷
拆分：耳心 [ex]	𲹸
拆分：耳參 [ec]	𲹹
拆分：耳閔 [em]	𲹺
拆分：耳舜 [eu]	𲹻
拆分：耳葱 [ec]	𲹼
拆分：耳萬 [ew]	𲹽
拆分：耳義 [ey]	𲹾
拆分：耳蓋 [eg]	𲹿
拆分：聰王 [cw]	𲺀
拆分：耳田 [et]	𲺂
拆分：耳憲 [ex]	𲺃
拆分：肉干 [rg]	𲺅
拆分：月亡 [ow]	𲺆
拆分：月公 [og]	𲺈
拆分：月仑 [ol]	𲺉
拆分：左月 [zo]	𲺋
拆分：月贝 [ob]	𲺍
拆分：月当 [od]	𲺑
拆分：月内 [on]	𲺖
拆分：月儿 [oe]	𲺗
拆分：月耍 [ou]	𲺟
拆分：肉口 [rk] | 网肉 [wr]	𲺡
拆分：立尤 [ly]	𲺤
拆分：月晏 [oy]	𲺦
拆分：月爹 [od]	𲺧
拆分：月婪 [ol]	𲺭
拆分：月晝 [ov]	𲺱
拆分：晶月 [jo]	𲺴
拆分：月窗 [oi]	𲺸
拆分：月慶 [oq]	𲺽
拆分：月頁 [oy]	𲺾
拆分：月證 [ov]	𲻂
拆分：至戾 [vl]	𲻈
拆分：𠂆八 [pb]	𲻋
拆分：臼双 [ju]	𲻌
拆分：舅后 [jh]	𲻎
拆分：舌长 [ui]	𲻐
拆分：舌豸 [uv]	𲻓
拆分：舍舌 [uu]	𲻕
拆分：香舌 [xu]	𲻖
拆分：舍庸 [uy]	𲻘
拆分：舛壬 [ir] | 壬舛 [ri]	𲻙
拆分：舟卬 [va]	𲻚
拆分：舟冬 [vd]	𲻝
拆分：舟長 [vi]	𲻟
拆分：舟巾 [vj]	𲻣
拆分：舟堂 [vt]	𲻤
拆分：舟庶 [vu]	𲻥
拆分：舟曾 [vc]	𲻩
拆分：舟隹 [vv]	𲻪
拆分：骨色 [gs]	𲻬
拆分：艹门 [cm]	𲻯
拆分：艹马 [cm]	𲻰
拆分：艹乌 [cw]	𲻲
拆分：艹扣 [ck]	𲻵
拆分：艹尖 [cj]	𲻶
拆分：艹子 [cz]	𲻷
拆分：艹吐 [ct]	𲻹
拆分：艹凫 [cf]	𲻺
拆分：艹伍 [cw]	𲻻
拆分：艹色 [cs]	𲻼
拆分：艹向 [cx]	𲻽
拆分：艹于 [cy]	𲻿
拆分：艹𠃓 [cy]	𲼀
拆分：艹力 [cl]	𲼂
拆分：艹斗 [cd]	𲼃
拆分：艹判 [cp]	𲼄
拆分：艹顷 [cq]	𲼇
拆分：艹软 [cr]	𲼈
拆分：艹坡 [cp]	𲼉
拆分：艹帕 [cp]	𲼊
拆分：艹砀 [cd]	𲼍
拆分：艹斤 [cj]	𲼏
拆分：艹存 [cc]	𲼐
拆分：艹季 [cj]	𲼑
拆分：艹方 [cf]	𲼓
拆分：艹孢 [cb]	𲼕
拆分：艹生 [cu]	𲼖
拆分：艹辛 [cx]	𲼗
拆分：艹厶 [cs]	𲼘
拆分：子草 [zc]	𲼚
拆分：艹卺 [cj]	𲼛
拆分：艹孖 [cm]	𲼜
拆分：艹帮 [cb]	𲼝
拆分：艹耗 [ch]	𲼞
拆分：艹閃 [cu]	𲼠
拆分：艹尨 [cm]	𲼢
拆分：艹阆 [cl]	𲼣
拆分：艹挛 [cl]	𲼤
拆分：艹绥 [cs]	𲼦
拆分：艹雨 [cy]	𲼨
拆分：艹田 [ct]	𲼪
拆分：艹韭 [cj]	𲼬
拆分：艹幸 [cx]	𲼭
拆分：艹渌 [cl]	𲼮
拆分：卝惟 [cw]	𲼯
拆分：艹颉 [cj]	𲼱
拆分：艹翘 [cq]	𲼲
拆分：艹貰 [cu]	𲼳
拆分：艹敢 [cg]	𲼴
拆分：艹椒 [cj]	𲼵
拆分：艹从 [cc]	𲼷
拆分：艹猫 [cm]	𲼹
拆分：艹共 [cg]	𲼺
拆分：艹㴔 [cx]	𲼻
拆分：艹屏 [cp]	𲼼
拆分：艹滋 [cz] | 氵兹 [dz]	𲼽
拆分：艹亟 [cj]	𲼾
拆分：艹匍 [cp]	𲼿
拆分：艹缕 [cl]	𲽁
拆分：艹彡 [cp] | 萨彡 [sp]	𲽂
拆分：艹碓 [cd]	𲽃
拆分：艹丶 [cd] | 艹煮 [cv]	𲽄
拆分：艹某 [cm]	𲽅
拆分：艹责 [cz]	𲽉
拆分：艹储 [ci]	𲽊
拆分：艹獅 [cu]	𲽋
拆分：艹鬼 [cg]	𲽌
拆分：艹源 [cy]	𲽍
拆分：艹詢 [cx]	𲽎
拆分：艹該 [cg]	𲽏
拆分：艹又 [cy]	𲽐
拆分：卝閣 [cg]	𲽓
拆分：草争 [cv]	𲽔
拆分：艹魚 [cy]	𲽕
拆分：卝毓 [cy]	𲽖
拆分：艹奂 [ch]	𲽗
拆分：艹隹 [cv]	𲽘
拆分：艹辣 [cl]	𲽙
拆分：艹瓜 [cg]	𲽚
拆分：艹八 [cb] | 卝旗 [cq]	𲽛
拆分：艹木 [cm]	𲽜
拆分：卝綾 [cl]	𲽟
拆分：艹夂 [cw] | 苜夂 [mw]	𲽠
拆分：艹摯 [cv]	𲽡
拆分：艹正 [cv]	𲽢
拆分：卝皿 [cm]	𲽣
拆分：艹慶 [cq]	𲽥
拆分：艹麾 [ch]	𲽦
拆分：薜了 [bl]	𲽧
拆分：𦰩胡 [hh]	𲽩
拆分：艹鴛 [cy]	𲽪
拆分：艹皿 [cm]	𲽬
拆分：艹攵 [cw]	𲽭
拆分：艹皿 [cm]	𲽲
拆分：艹灬 [ch] | 薈灬 [hh]	𲽳
拆分：艹鬼 [cg]	𲽴
拆分：艹喬 [cq]	𲽵
拆分：艹賽 [cs]	𲽶
拆分：艹瓊 [cq]	𲽸
拆分：艹囷 [cq]	𲽻
拆分：艹葉 [cy]	𲽽
拆分：虍丁 [hd]	𲾁
拆分：虎下 [hx]	𲾂
拆分：處月 [iy] | 處月 [io]	𲾃
拆分：虍鳥 [hn]	𲾅
拆分：虍齊 [hq]	𲾈
拆分：虚覺 [xj]	𲾉
拆分：虫十 [iu]	𲾊
拆分：虫千 [iq]	𲾋
拆分：虫叉 [ii]	𲾌
拆分：虫𠃓 [iy]	𲾍
拆分：虫仅 [ij]	𲾎
拆分：虫又 [iy]	𲾏
拆分：虫予 [iy]	𲾐
拆分：虫匝 [iz]	𲾑
拆分：虫龙 [il]	𲾒
拆分：虫丝 [is]	𲾔
拆分：虫灰 [ih]	𲾕
拆分：虫囟 [ix]	𲾖
拆分：虫𥫗 [iv] | 𥫗虫 [vi]	𲾘
拆分：虫名 [im]	𲾙
拆分：虫先 [ix]	𲾚
拆分：虫充 [ii]	𲾛
拆分：虫米 [im]	𲾜
拆分：丬虫 [pi] | 虫夕 [ix]	𲾝
拆分：虫好 [ih]	𲾟
拆分：虫勺 [iu]	𲾠
拆分：虫医 [iy]	𲾡
拆分：虫丽 [il]	𲾢
拆分：虫佣 [iy]	𲾤
拆分：虫言 [iy]	𲾦
拆分：虫庐 [il]	𲾧
拆分：虫应 [iy]	𲾩
拆分：虫连 [il]	𲾭
拆分：虫枚 [im]	𲾮
拆分：虫叔 [iu]	𲾰
拆分：虫质 [iv]	𲾳
拆分：虫服 [if]	𲾴
拆分：牧虫 [mi] | 虫牧 [im]	𲾵
拆分：虫和 [ih]	𲾶
拆分：虫月 [io]	𲾷
拆分：虫府 [if]	𲾹
拆分：虫刷 [iu]	𲾻
拆分：虫豕 [iu]	𲿀
拆分：虫屏 [ip]	𲿄
拆分：虫寸 [ic]	𲿅
拆分：臣虫 [ii] | 虫冂 [ik]	𲿇
拆分：虫珠 [iv]	𲿈
拆分：虫豕 [iu]	𲿉
拆分：虫員 [iy]	𲿊
拆分：虫巾 [ij]	𲿋
拆分：虫拳 [iq]	𲿐
拆分：虫記 [ij]	𲿓
拆分：虫雩 [iy]	𲿔
拆分：来虫 [li] | 虫攵 [iw]	𲿕
拆分：虫瓦 [iw] | 而虫 [ei]	𲿖
